chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\LogAxis.java, LogAxis, 929, 399, 0.4294940796555436, 1, 0.4294940796555436
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\LogTick.java, LogTick, 29, 20, 0.6896551724137931, 1, 0.6896551724137931
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java, MarkerAxisBand, 186, 71, 0.3817204301075269, 3, 0.12724014336917563
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\ModuloAxis.java, ModuloAxis, 357, 152, 0.4257703081232493, 2, 0.21288515406162464
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\MonthDateFormat.java, MonthDateFormat, 180, 100, 0.5555555555555556, 1, 0.5555555555555556
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java, NumberAxis, 955, 395, 0.41361256544502617, 2, 0.20680628272251309
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTick.java, NumberTick, 48, 33, 0.6875, 1, 0.6875
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnit.java, NumberTickUnit, 100, 53, 0.53, 1, 0.53
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java, NumberTickUnitSource, 175, 25, 0.14285714285714285, 3, 0.047619047619047616
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, PeriodAxisLabelInfo, 267, 143, 0.5355805243445693, 1, 0.5355805243445693
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, of, 0, 0, NaN, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, ,, 0, 0, NaN, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java, StandardTickUnitSource, 80, 46, 0.575, 1, 0.575
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\SymbolAxis.java, SymbolAxis, 626, 240, 0.38338658146964855, 2, 0.19169329073482427
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Tick.java, Tick, 116, 62, 0.5344827586206896, 1, 0.5344827586206896
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\TickType.java, TickType, 10, 9, 0.9, 0, 0.0
